bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,id
40.0,COMPLETE_PARTNER_RECEIPT,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,185.0,2021-01-02,2.0,FINISHED,2.0,5ff1e194b6a9d73a3a9f1052,5ff1e1d70a720f0523000571
5.0,All-receipts receipt bonus,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,5.0,2021-01-02,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1c60a7214ada100055e
5.0,All-receipts receipt bonus,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,5.0,2021-01-02,5.0,FINISHED,27.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada1000570
5.0,All-receipts receipt bonus,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,5.0,2021-01-02,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1cf0a720f0523000570
25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,35.0,2021-01-02,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1e10a720f0523000572
0.0,No purchases,2021-01-03,2021-01-03,,2021-01-03,,0.0,2017-10-29,3.0,REJECTED,3.0,5ff1e194b6a9d73a3a9f1052,5ff1e1d40a7214ada1000562
5.0,All-receipts receipt bonus,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,5.0,2021-01-02,4.0,FINISHED,27.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a720f0523000578
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,650.0,2020-12-19,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5
5.0,All-receipts receipt bonus,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,55.0,2021-01-04,1.0,FINISHED,0.99,5ff36d0362fde912123a5535,5ff36dcc0a720f05230005b1
0.0,No purchases,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,500.0,2021-01-03,9.0,FINISHED,89.91,5ff36be7135e7011bcb856d3,5ff36c750a7214ada100058f
45.0,COMPLETE_PARTNER_RECEIPT,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,50.0,2021-01-03,1.0,FINISHED,1.0,54943462e4b07e684157a532,5ff36d860a720f05230005a7
45.0,COMPLETE_PARTNER_RECEIPT,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,50.0,2020-12-19,1.0,FINISHED,1.0,5ff36d0362fde912123a5535,5ff36d9f0a720f05230005ab
0.0,No purchases,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,250.0,2020-12-30,5.0,FINISHED,49.95,5ff36a3862fde912123a4460,5ff36adb0a720f0523000590
5.0,All-receipts receipt bonus,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,5.0,2021-01-03,1.0,FINISHED,1.0,5ff36d0362fde912123a5535,5ff36da00a7214ada100059b
5.0,All-receipts receipt bonus,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,355.0,2021-01-03,9.0,FINISHED,89.91,5ff36d0362fde912123a5535,5ff36dc40a7214ada100059f
100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,600.0,2021-01-03,9.0,FINISHED,89.91,5ff370c562fde912123a5e0e,5ff3710b0a7214ada10005a7
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,1750.0,2021-01-04,1.0,FINISHED,10.0,5ff36d78135e7011bcb86488,5ff36d780a7214ada1000593
45.0,COMPLETE_PARTNER_RECEIPT,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,350.0,2021-01-03,1.0,FINISHED,1.0,5ff370c562fde912123a5e0e,5ff371410a7214ada10005ba
5.0,All-receipts receipt bonus,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,5.0,2021-01-03,1.0,FINISHED,1.0,54943462e4b07e684157a532,5ff36c8b0a720f05230005a1
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,750.0,2021-01-01,5.0,FINISHED,25.0,5ff36be7135e7011bcb856d3,5ff36c550a7214ada1000588
5.0,All-receipts receipt bonus,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,55.0,2021-01-03,9.0,FINISHED,89.91,5ff36a3862fde912123a4460,5ff36acb0a720f052300058d
5.0,All-receipts receipt bonus,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,5.0,2020-12-24,5.0,FINISHED,49.95,5ff370c562fde912123a5e0e,5ff371450a7214ada10005bd
100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,225.0,2021-01-01,5.0,FINISHED,25.0,5ff36d0362fde912123a5535,5ff36d9d0a720f05230005aa
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,275.0,2020-12-30,5.0,FINISHED,25.0,5ff36be7135e7011bcb856d3,5ff36c590a7214ada1000589
25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,25.0,2021-01-02,1.0,FINISHED,1.0,5964eb07e4b03efd0c0f267b,5ff29be20a7214ada1000571
25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,25.0,2021-01-03,1.0,FINISHED,28.57,5c3388caea88e15513a95069,5ff3416f0a7214ada1000576
5.0,All-receipts receipt bonus,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,5.0,2021-01-03,4.0,FINISHED,18.2,5ff36be7135e7011bcb856d3,5ff36c6d0a720f0523000597
100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,100.0,2020-12-19,1.0,FINISHED,1.0,5ff36a3862fde912123a4460,5ff36a830a7214ada100057b
250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,250.0,2021-01-03,1.0,FINISHED,10.0,5ff36be7135e7011bcb856d3,5ff36c570a720f0523000593
0.0,No purchases,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,350.0,2021-01-03,1.0,FINISHED,10.0,5ff370c562fde912123a5e0e,5ff3713c0a7214ada10005b6
45.0,COMPLETE_PARTNER_RECEIPT,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,100.0,2021-01-04,1.0,FINISHED,0.99,5ff370c562fde912123a5e0e,5ff371130a7214ada10005aa
500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,500.0,2020-12-20,5.0,FINISHED,49.95,5ff370c562fde912123a5e0e,5ff370f00a7214ada10005a3
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,755.0,2021-01-03,1.0,FINISHED,1.0,5ff37124135e7011bcb86bc3,5ff371240a7214ada10005b3
5.0,All-receipts receipt bonus,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,5.0,2021-01-03,1.0,FINISHED,1.0,54943462e4b07e684157a532,5ff36c8d0a7214ada1000591
5.0,All-receipts receipt bonus,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,55.0,2021-01-04,1.0,FINISHED,0.99,5ff36a3862fde912123a4460,5ff36ad40a7214ada1000585
5.0,All-receipts receipt bonus,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,5.0,2021-01-03,1.0,FINISHED,9.99,5ff36d0362fde912123a5535,5ff36dcb0a7214ada10005a0
25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,25.0,2021-01-03,1.0,FINISHED,28.57,5c3388caea88e15513a95069,5ff3416d0a7214ada1000575
5.0,All-receipts receipt bonus,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,5.0,2021-01-04,4.0,FINISHED,25.0,5ff4ce3dc3d63511e2a484dc,5ff4ce430a7214ada10005d8
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,150.0,2021-01-04,5.0,FINISHED,27.0,5ff4ce3dc3d63511e2a484dc,5ff4ce400a7214ada10005d5
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,,2021-01-05,,750.0,2020-09-12,2.0,REJECTED,34.96,5fbc35711d967d1222cbfefc,5ff4a4ca0a7214ada10005d0
5.0,All-receipts receipt bonus,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,5.0,2020-12-23,1.0,FINISHED,1.0,54943462e4b07e684157a532,5ff473de0a720f05230005bd
25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,35.0,2021-01-04,1.0,FINISHED,1.0,5ff4ce33c3d63511e2a484b6,5ff4ce8c0a7214ada10005e6
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,750.0,2021-01-04,2.0,FINISHED,29.0,5ff4ce3dc3d63511e2a484dc,5ff4ce3d0a7214ada10005d3
45.0,COMPLETE_PARTNER_RECEIPT,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,50.0,2021-01-04,1.0,FINISHED,1.0,5ff47392c3d63511e2a47881,5ff473b40a7214ada10005c5
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,1800.0,2021-01-05,1.0,FINISHED,10.0,5ff473f3c1e2d0121a9b2707,5ff473f30a720f05230005c0
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,750.0,2021-01-04,2.0,FINISHED,21.0,5ff4ce3ac1e2d0121a9b2fb3,5ff4ce3a0a7214ada10005d2
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,275.0,2020-12-31,5.0,FINISHED,25.0,5ff47392c3d63511e2a47881,5ff473a90a7214ada10005c2
0.0,No purchases,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,250.0,2021-01-02,5.0,FINISHED,49.95,5ff47392c3d63511e2a47881,5ff473b10a7214ada10005c4
0.0,No purchases,2021-01-05,2021-01-05,,2021-01-05,,0.0,,0.0,SUBMITTED,0.0,5a43c08fe4b014fd6b6a0612,5ff475820a7214ada10005cf
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,300.0,2021-01-04,2.0,FINISHED,1.0,5ff4ce33c3d63511e2a484b6,5ff4ce550a7214ada10005db
5.0,All-receipts receipt bonus,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,5.0,2021-01-04,1.0,FINISHED,29.0,5ff4ce3dc3d63511e2a484dc,5ff4ce430a720f05230005c9
5.0,All-receipts receipt bonus,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,5.0,2021-01-05,1.0,FINISHED,9.99,5ff47392c3d63511e2a47881,5ff473d40a7214ada10005c9
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,,2021-01-05,2021-01-05,810.0,2021-01-04,5.0,FLAGGED,13.0,5ff4ce68c1e2d0121a9b3022,5ff4ce690a7214ada10005e2
0.0,No purchases,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,250.0,2020-12-31,5.0,FINISHED,49.95,5ff47392c3d63511e2a47881,5ff473f60a7214ada10005ce
5.0,All-receipts receipt bonus,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,305.0,2021-01-04,1.0,FINISHED,9.99,5ff47392c3d63511e2a47881,5ff473cf0a7214ada10005c8
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-11-06,2020-11-06,2021-01-05,2021-01-05,2021-01-05,9449.8,2020-11-05,11.0,FINISHED,291.0,5fa5ad376a26f611e71ab5ef,5fa5ad370a720f05ef000089
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-05,2021-01-05,,2021-01-05,2021-01-05,750.0,2021-01-04,1.0,FLAGGED,1.0,5ff4ce65c3d63511e2a4853b,5ff4ce650a7214ada10005e1
45.0,COMPLETE_PARTNER_RECEIPT,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,50.0,2021-01-04,1.0,FINISHED,1.0,54943462e4b07e684157a532,5ff473e40a7214ada10005cc
0.0,No purchases,2021-01-05,2021-01-05,,2021-01-05,,0.0,,0.0,FLAGGED,0.0,5ff4ce3cc1e2d0121a9b2fba,5ff4ce3c0a720f05230005c4
5.0,All-receipts receipt bonus,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,55.0,2021-01-05,1.0,FINISHED,0.99,5ff47392c3d63511e2a47881,5ff473d00a720f05230005bb
5.0,All-receipts receipt bonus,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,5.0,2020-12-25,5.0,FINISHED,49.95,5ff47392c3d63511e2a47881,5ff473b20a720f05230005b7
