barcode,category,categoryCode,name,topBrand,brandCode,id,cpg_type,cpg_id
511111700029,Beverages,BEVERAGES,PURE LEAF Iced Tea Beverages,0.0,PURE LEAF ICED TEA BEVERAGES,5a5e3615e4b06ba572cf24ab,Cogs,5332f5fbe4b03c9a25efd0ba
511111414049,Health & Wellness,HEALTHY_AND_WELLNESS,ONE A DAY® KIDS,,ONE A DAY KIDS,5e5ff1f7ee7f2d0b35b2a18e,Cogs,5d9b4f591dda2c6225a284aa
511111801689,Snacks,SNACKS,Lay's Kettle Cooked,1.0,,585a967fe4b03e62d1ce0e80,Cogs,5332f5fbe4b03c9a25efd0ba
511111416500,Baking,BAKING,test brand @1599159968998,,TEST BRANDCODE @1599159968998,5f513ea1be37ce21f1287c02,Cogs,5f513ea0be37ce21f1287c01
511111805410,Beverages,BEVERAGES,LIFEWTR,0.0,LIFEWTR,5d66dd526d5f3b6188d4f04f,Cogs,5332f5fbe4b03c9a25efd0ba
511111804994,Magazines,MAGAZINES,Eating Well Magazine,,511111804994,5d6412f86d5f3b23d1bc7909,Cogs,5d5d4fd16d5f3b23d1bc7905
511111903901,unknown,UNKNOWN,Sierra Mist,,SIERRA MIST,5332f608e4b03c9a25efd0c1,Cpgs,53e10d6368abd3c7065097cc
511111904731,Baby,BABY,SIMILAC,,SIMILAC,5c49d161f0276e7719673719,Cogs,59b96571e4b0bf7c7980588b
511111205739,Health & Wellness,HEALTHY_AND_WELLNESS,Coricidin® HBP,0.0,CORICIDIN HBP,5da60843a60b87376833e351,Cogs,5d9b4f591dda2c6225a284aa
511111716921,Candy & Sweets,CANDY_AND_SWEETS,test brand @1601939016290,,TEST BRANDCODE @1601939016290,5f7ba648be37ce23081c528e,Cogs,5332fa12e4b03c9a25efd1e7
511111400110,Beauty & Personal Care,BEAUTY_AND_PERSONAL_CARE,Badedas,,BADEDAS,5a5d29fde4b0db471c2d0433,Cogs,53e10d6368abd3c7065097cc
511111902744,unknown,UNKNOWN,Shurfine,,SHURFINE,54594387e4b0bfcb1e864083,Cpgs,5459429be4b0bfcb1e864082
511111001607,Beverages,BEVERAGES,Pepsi Diet,0.0,,585a96d2e4b03e62d1ce0e89,Cogs,5332f5fbe4b03c9a25efd0ba
511111803164,unknown,UNKNOWN,Apple Jacks/Cinnamon Jacks,,APPLE JACKS/CINNAMON JACKS,5332f9fee4b03c9a25efd1d0,Cpgs,5332f5f2e4b03c9a25efd0aa
511111703051,unknown,UNKNOWN,Diet Coke,,DIET COKE,5332fa73e4b03c9a25efd21c,Cpgs,5332f5ebe4b03c9a25efd0a8
511111617297,Baking,BAKING,test brand @1604946244876,0.0,TEST BRANDCODE @1604946244876,5fa98944be37ce239d107103,Cogs,5fa98944be37ce239d1070ff
511111203483,unknown,UNKNOWN,Shock Top,,SHOCK TOP,5332f7afe4b03c9a25efd13d,Cpgs,5332f7a7e4b03c9a25efd134
511111404880,Frozen,FROZEN,Benihana Frozen Entrees,,BENIHANA,5d540e65a3a018514994f41f,Cogs,559c2234e4b06aca36af13c6
511111905967,Dairy,DAIRY,Mountain High™,,MOUNTAIN HIGH,5daf46261dda2c3e1416ae96,Cogs,5332f5f3e4b03c9a25efd0ae
511111001485,Snacks,SNACKS,Tostitos,,TOSTITOS,585a972de4b03e62d1ce0e96,Cogs,5332f5fbe4b03c9a25efd0ba
511111317081,Baking,BAKING,test brand @1603760319788,,TEST BRANDCODE @1603760319788,5f9770bfbe37ce03d08a2d86,Cogs,5f9770bfbe37ce03d08a2d83
511111501824,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Kraft BBQ Sauce,0.0,,580e015be4b0f32b2de21385,Cogs,559c2234e4b06aca36af13c6
511111516569,Baby,BABY,Gerber Baby Food,,GERBER BABY FOOD,5f5900d4be37ce21f1287c11,Cogs,5f58fa84be37ce21f1287c0f
511111504139,Grocery,GROCERY,Pace,0.0,PACE,5a8c33f3e4b07f0a2dac8943,Cogs,5a734034e4b0d58f376be874
511111204435,Canned Goods & Soups,CANNED_GOODS_AND_SOUPS,Campbell's Slow Kettle,0.0,CAMPBELLS SLOW KETTLE ,5ab1589ae4b0915382df7621,Cogs,5a734034e4b0d58f376be874
511111304494,Snacks,SNACKS,Archway,0.0,ARCHWAY,5afda22ee4b03bf01c2a2965,Cogs,5a734034e4b0d58f376be874
511111901099,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Kraft Salad Dressing,0.0,,588b9ff4e4b02187f85cdadb,Cogs,559c2234e4b06aca36af13c6
511111314653,Health & Wellness,HEALTHY_AND_WELLNESS,Bayer® Aspirin,0.0,BAYER® ASPIRIN,5ec2dde7be37ce5234ec36bb,Cogs,5d9b4f591dda2c6225a284aa
511111818977,Baking,BAKING,test brand @1610055793449,0.0,TEST BRANDCODE @1610055793449,5ff78071be37ce6a424ca0e9,Cogs,5ff78071be37ce6a424ca0e7
511111318965,Baking,BAKING,test brand @1610055793411,0.0,TEST BRANDCODE @1610055793411,5ff78071be37ce6a424ca0e8,Cogs,5ff78071be37ce6a424ca0e7
511111018988,Baking,BAKING,test brand @1610055793500,0.0,TEST BRANDCODE @1610055793500,5ff78071be37ce6a424ca0ea,Cogs,5ff78071be37ce6a424ca0e7
511111719007,Candy & Sweets,CANDY_AND_SWEETS,test brand @1610055794196,0.0,TEST BRANDCODE @1610055794196,5ff78072be37ce6a424ca0ec,Cogs,5332fa12e4b03c9a25efd1e7
511111518990,Baking,BAKING,test brand @1610055793537,0.0,TEST BRANDCODE @1610055793537,5ff78071be37ce6a424ca0eb,Cogs,5ff78071be37ce6a424ca0e7
511111219019,Baking,BAKING,test brand @1610058181548,0.0,TEST BRANDCODE @1610058181549,5ff789c5be37ce786ba0f6a3,Cogs,5ff789c5be37ce786ba0f6a2
511111718918,Baking,BAKING,test brand @1610053719944,0.0,TEST BRANDCODE @1610053719944,5ff77857be37ce58ce50083c,Cogs,5ff77857be37ce58ce500839
511111918929,Baking,BAKING,test brand @1610053719998,0.0,TEST BRANDCODE @1610053719998,5ff77858be37ce58ce50083d,Cogs,5ff77857be37ce58ce500839
511111118954,Baking,BAKING,test brand @1610055792794,0.0,TEST BRAND @1610055792794,5ff78070be37ce6a424ca0e6,Cogs,5ff78070be37ce6a424ca0e5
511111218906,Baking,BAKING,test brand @1610053719869,0.0,TEST BRANDCODE @1610053719869,5ff77857be37ce58ce50083b,Cogs,5ff77857be37ce58ce500839
511111618942,Baking,BAKING,test brand @1610053721248,0.0,TEST BRAND @1610053721248,5ff77859be37ce58ce500840,Cogs,5ff77859be37ce58ce50083f
511111418931,Candy & Sweets,CANDY_AND_SWEETS,test brand @1610053721033,0.0,TEST BRANDCODE @1610053721033,5ff77859be37ce58ce50083e,Cogs,5332fa12e4b03c9a25efd1e7
511111004639,Personal Care,PERSONAL_CARE,Depend,0.0,DEPEND,5bd200c690fa074576779a16,Cogs,550b2565e4b001d5e9e4146f
511111318521,Candy & Sweets,CANDY_AND_SWEETS,test brand @1608313322283,0.0,TEST BRANDCODE @1608313322283,5fdce9eabe37ce5fa8ba59db,Cogs,5332fa12e4b03c9a25efd1e7
511111118510,Baking,BAKING,test brand @1608313321374,0.0,TEST BRANDCODE @1608313321374,5fdce9e9be37ce5fa8ba59da,Cogs,5fdce9e9be37ce5fa8ba59d6
511111518488,Baking,BAKING,test brand @1608313321191,0.0,TEST BRANDCODE @1608313321191,5fdce9e9be37ce5fa8ba59d7,Cogs,5fdce9e9be37ce5fa8ba59d6
511111618508,Baking,BAKING,test brand @1608313321301,0.0,TEST BRANDCODE @1608313321301,5fdce9e9be37ce5fa8ba59d9,Cogs,5fdce9e9be37ce5fa8ba59d6
511111018490,Baking,BAKING,test brand @1608313321222,0.0,TEST BRANDCODE @1608313321222,5fdce9e9be37ce5fa8ba59d8,Cogs,5fdce9e9be37ce5fa8ba59d6
511111005933,Snacks,SNACKS,Nature Valley™,,NATURE VALLEY,5daf35a8a60b87376833e35d,Cogs,5332f5f3e4b03c9a25efd0ae
511111215981,Baking,BAKING,test brand @1598633693767,,TEST BRANDCODE @1598633693767,5f4936ddbe37ce52f8314fdd,Cogs,5f4936ddbe37ce52f8314fda
511111715993,Baking,BAKING,test brand @1598633693791,,TEST BRANDCODE @1598633693791,5f4936ddbe37ce52f8314fde,Cogs,5f4936ddbe37ce52f8314fda
511111117407,Bread & Bakery,BREAD_AND_BAKERY,Anzio ,0.0,ANZIO,5fb6b82dbe37ce522e165cbc,Cogs,5fb6b608be37ce522e165cb9
511111705000,Magazines,MAGAZINES,Family Circle,,511111705000,5d641306a3a018514994f427,Cogs,5d5d4fd16d5f3b23d1bc7905
511111002598,unknown,UNKNOWN,Diet Rite,,DIET RITE,55b630f5e4b0d8e685c14222,Cogs,55b62995e4b0d8e685c14213
511111806172,Dairy,DAIRY,Hershey's Whipped Topping,,HERSHEY'S WHIPPED TOPPING,5db780a6a60b87376833e369,Cogs,559c2234e4b06aca36af13c6
511111515968,Baking,BAKING,test brand @1598633693720,,TEST BRANDCODE @1598633693720,5f4936ddbe37ce52f8314fdb,Cogs,5f4936ddbe37ce52f8314fda
511111804048,unknown,UNKNOWN,Eggo,,EGGO,5332f5f2e4b03c9a25efd0a9,Cpgs,5332f5f2e4b03c9a25efd0aa
511111617341,Baking,BAKING,test brand @1605535020671,0.0,TEST BRANDCODE @1605535020671,5fb2852cbe37ce522e165cb2,Cogs,5fb2852cbe37ce522e165cae
511111200802,Dairy,DAIRY,IMPERIAL,,IMPERIAL,592486bee410d61fcea3d12e,Cogs,53e10d6368abd3c7065097cc
511111502425,unknown,UNKNOWN,Modelo Especial,,MODELO ESPECIAL,57c082a6e4b0718ff5fcb03b,Cpgs,5332f7a7e4b03c9a25efd134
511111305637,Health & Wellness,HEALTH_AND_WELLNESS,ALEVE® PM NIGHT TIME,,ALEVE PM NIGHT TIME,5da606ae1dda2c3e1416ae86,Cogs,53e10d6368abd3c7065097cc
511111117124,Baking,BAKING,test brand @1603925787294,,TEST BRANDCODE @1603925787294,5f99f71bbe37ce13da9eade7,Cogs,5f99f71bbe37ce13da9eade6
511111904229,Personal Care,PERSONAL_CARE,ApotheCARE Essentials,0.0,APOTHECARE ESSENTIALS,5a8c5e74e4b07f0a2dac8947,Cogs,5332f5f6e4b03c9a25efd0b4
511111902256,Beer Wine Spirits,BEER_WINE_SPIRITS,Henry's Hard Soda,0.0,HENRY WEINHARD'S,57e5817ae4b0ac389136a30c,Cpgs,5332f709e4b03c9a25efd0f1
511111204367,Canned Goods & Soups,CANNED_GOODS_AND_SOUPS,Campbell's Chunky,0.0,CAMPBELLS CHUNKY ,5ab15392e4b0915382df761d,Cogs,5a734034e4b0d58f376be874
511111914051,Health & Wellness,HEALTH_AND_WELLNESS,ONE A DAY® WOMENS,,ONE A DAY® WOMENS,5e5ff265ee7f2d0b35b2a18f,Cogs,53e10d6368abd3c7065097cc
511111415060,Baking,BAKING,test brand @1595340085980,,TEST BRANDCODE @1595340085980,5f16f536be37ce2b30061e25,Cogs,5f16f535be37ce2b30061e24
511111502869,unknown,UNKNOWN,Town House,,TOWN HOUSE,5332fb83e4b03c9a25efd24a,Cpgs,5332f5f2e4b03c9a25efd0aa
511111515036,Outdoor,OUTDOOR,Kingsford Charcoal,,KINGSFORD,5ef38672be37ce02da95b72f,Cogs,5eebc5412455c97a877ef382
511111206101,Dairy,DAIRY,Yoplait® Go-GURT®,,YOPLAIT GO-GURT,5daf6baaa60b87376833e364,Cogs,5332f5f3e4b03c9a25efd0ae
511111700531,Snacks,SNACKS,FRITO-LAY,1.0,FRITO-LAY,5a4d1f06e4b0d5c3fd86b678,Cogs,5332f5fbe4b03c9a25efd0ba
511111502142,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Grey Poupon,0.0,GREY POUPON,57ebc003e4b0ac389136a333,Cogs,559c2234e4b06aca36af13c6
511111915799,Baking,BAKING,test brand @1598296704763,,TEST BRANDCODE @1598296704763,5f441280be37ce5dbe9b7c80,Cogs,5f441280be37ce5dbe9b7c7d
511111814641,Health & Wellness,HEALTHY_AND_WELLNESS,Berroca®,,BERROCA®,5ec2dda8be37ce5234ec36ba,Cogs,5d9b4f591dda2c6225a284aa
511111301301,Beverages,BEVERAGES,Propel,0.0,PROPEL,58861c7f4e8d0d20bc42c4f9,Cogs,5332f5fbe4b03c9a25efd0ba
511111700975,Beer Wine Spirits,BEER_WINE_SPIRITS,Milwaukee's Best Ice,0.0,MILWAUKEE'S BEST,58b59a68e4b0857c2ddb7257,Cogs,5332f709e4b03c9a25efd0f1
